"taz";"hhlds2015";"transittotal2015";"autototal2015";"hhlds2050";"transittotal2050";"autototal2050"
859.0;0.0;0;787;0.0;0;931
464.0;91.0;373;1131;111.0;513;1180
760.0;834.0;617;1132;846.0;832;1233
303.0;1283.0;637;1049;1877.0;850;1042
915.0;182.0;319;954;1603.0;544;1099
186.0;791.0;594;1184;811.0;763;1309
523.0;298.0;282;844;348.0;430;1027
910.0;500.0;618;997;720.0;840;1099
200.0;535.0;494;845;611.0;722;1025
654.0;741.0;454;1226;291.0;896;1359
103.0;311.0;463;878;526.0;675;1033
485.0;0.0;286;1165;0.0;312;1246
572.0;0.0;653;1232;1215.0;1011;1336
219.0;285.0;237;832;355.0;497;999
242.0;678.0;689;1189;814.0;892;1308
950.0;0.0;861;1234;0.0;1057;1332
236.0;913.0;769;1202;1380.0;990;1311
519.0;351.0;155;1172;1663.0;540;1274
736.0;76.0;760;1206;76.0;961;1274
933.0;0.0;808;1242;0.0;1025;1312
457.0;49.0;588;886;0.0;815;1067
483.0;178.0;445;1172;229.0;743;1240
489.0;68.0;97;1131;110.0;210;1181
642.0;235.0;666;1269;984.0;965;1394
898.0;152.0;239;935;252.0;353;1040
774.0;0.0;887;1230;1.0;1090;1333
35.0;386.0;266;933;439.0;423;1094
203.0;690.0;583;843;753.0;764;1022
525.0;258.0;354;842;331.0;573;1022
183.0;1183.0;705;1101;1221.0;921;1184
407.0;423.0;313;1113;496.0;692;1123
128.0;490.0;681;1079;502.0;888;1119
452.0;231.0;428;887;239.0;650;998
780.0;0.0;805;1250;0.0;974;1337
863.0;1.0;14;839;1.0;16;980
538.0;278.0;586;1203;652.0;794;1329
712.0;1786.0;769;1160;1849.0;995;1241
82.0;353.0;501;897;353.0;733;1083
8.0;323.0;432;881;325.0;747;1078
684.0;95.0;857;1250;105.0;1115;1372
705.0;160.0;690;1052;256.0;897;1121
800.0;336.0;715;1169;340.0;899;1295
742.0;665.0;887;1246;676.0;1090;1335
620.0;446.0;845;1217;838.0;1071;1327
257.0;481.0;236;830;569.0;569;990
492.0;2.0;59;1155;2.0;447;1264
497.0;360.0;101;736;423.0;246;770
813.0;0.0;775;1185;0.0;954;1293
836.0;756.0;615;979;792.0;859;1056
165.0;517.0;660;1099;542.0;843;1168
834.0;648.0;601;1038;657.0;842;1157
687.0;321.0;508;853;384.0;715;1002
149.0;433.0;638;1159;450.0;838;1237
188.0;641.0;715;1169;675.0;809;1297
247.0;739.0;700;1127;756.0;934;1191
269.0;471.0;138;820;567.0;480;972
536.0;64.0;483;1207;967.0;807;1328
599.0;726.0;623;1268;2577.0;818;1390
529.0;502.0;519;843;560.0;703;1022
396.0;127.0;461;892;224.0;631;1045
546.0;393.0;605;859;480.0;778;998
38.0;337.0;648;978;471.0;855;1100
469.0;221.0;209;820;223.0;213;874
130.0;394.0;719;1096;425.0;949;1156
480.0;295.0;171;886;309.0;226;1042
749.0;73.0;825;1211;73.0;1122;1304
682.0;765.0;655;1104;1164.0;873;1193
719.0;276.0;229;830;354.0;482;981
545.0;776.0;12;839;1176.0;23;1004
788.0;0.0;764;1201;0.0;950;1313
776.0;1.0;890;1228;1.0;1092;1329
99.0;456.0;58;686;596.0;175;689
226.0;632.0;593;849;649.0;772;1012
450.0;232.0;389;792;311.0;462;815
695.0;1280.0;620;954;1285.0;849;1026
892.0;0.0;21;961;0.0;121;1117
